Date,Open,High,Low,Close,Adj Close,Volume
2021-10-27,1561.849976,1587.099976,1527.500000,1567.849976,1423.567017,3624131
2021-10-28,1578.000000,1582.849976,1526.000000,1533.300049,1392.196533,3054565
2021-10-29,1527.349976,1542.750000,1467.800049,1477.849976,1341.849365,3795495
2021-11-01,1490.000000,1529.900024,1487.050049,1522.150024,1382.072510,2271900
2021-11-02,1522.250000,1522.949951,1488.050049,1490.599976,1366.896118,2041689
2021-11-03,1498.000000,1537.699951,1493.599976,1498.550049,1374.186401,2697346
2021-11-04,1509.000000,1515.000000,1501.000000,1505.849976,1380.880493,166444
2021-11-08,1508.000000,1562.800049,1504.300049,1556.199951,1427.051880,3050392
2021-11-09,1561.000000,1572.000000,1553.000000,1559.199951,1429.802979,2061369
2021-11-10,1555.949951,1573.349976,1546.550049,1566.599976,1436.588989,1299996
2021-11-11,1560.000000,1560.000000,1515.000000,1521.949951,1395.644409,3027565
2021-11-12,1538.500000,1589.449951,1531.300049,1585.000000,1453.461914,3713868
2021-11-15,1585.000000,1601.500000,1573.349976,1579.150024,1448.097534,2448280
2021-11-16,1585.099976,1605.000000,1576.000000,1599.900024,1467.125488,2864344
2021-11-17,1598.500000,1625.000000,1595.000000,1618.449951,1484.135864,2304359
2021-11-18,1620.199951,1624.750000,1559.500000,1567.750000,1437.643433,2938804
2021-11-22,1581.800049,1581.800049,1520.000000,1541.300049,1413.388672,1951782
2021-11-23,1522.000000,1564.449951,1506.300049,1560.550049,1431.040894,1823592
2021-11-24,1568.800049,1569.900024,1530.000000,1538.099976,1410.454224,1644163
2021-11-25,1531.000000,1564.800049,1530.050049,1559.349976,1429.940552,1557493
2021-11-26,1544.000000,1550.000000,1510.150024,1527.400024,1400.642090,1522173
2021-11-29,1515.000000,1545.500000,1479.400024,1536.650024,1409.124390,1995524
2021-11-30,1529.000000,1594.449951,1526.500000,1541.449951,1413.526001,5662900
2021-12-01,1550.000000,1594.400024,1550.000000,1587.599976,1455.846069,2761193
2021-12-02,1590.000000,1632.500000,1580.000000,1629.650024,1494.406494,2664202
2021-12-03,1625.000000,1638.250000,1589.699951,1593.300049,1461.073120,2400296
2021-12-06,1606.000000,1619.550049,1546.849976,1551.750000,1422.971191,2911781
2021-12-07,1564.000000,1581.349976,1536.000000,1576.650024,1445.804932,1758254
2021-12-08,1582.650024,1614.800049,1582.050049,1604.800049,1471.618774,1604565
2021-12-09,1593.000000,1620.000000,1585.000000,1611.199951,1477.487549,1947954
2021-12-10,1611.000000,1611.199951,1578.550049,1602.650024,1469.647095,1776362
2021-12-13,1605.000000,1655.500000,1597.449951,1638.150024,1502.201050,3163063
2021-12-14,1640.000000,1665.000000,1625.650024,1642.699951,1506.373291,2725454
2021-12-15,1639.000000,1646.300049,1615.900024,1641.599976,1505.364624,1622068
2021-12-16,1649.000000,1667.650024,1642.199951,1652.650024,1515.497803,2225836
2021-12-17,1669.199951,1675.000000,1626.900024,1642.849976,1506.510864,3405084
2021-12-20,1635.000000,1638.349976,1576.599976,1598.050049,1465.428955,2233189
2021-12-21,1605.500000,1655.300049,1605.500000,1632.949951,1497.432495,2237445
2021-12-22,1645.000000,1661.699951,1631.750000,1659.750000,1522.008423,1656110
2021-12-23,1670.000000,1691.099976,1664.150024,1683.800049,1544.062500,1715034
2021-12-24,1683.349976,1735.199951,1680.349976,1723.800049,1580.742920,3343946
2021-12-27,1724.500000,1792.000000,1703.650024,1785.000000,1636.864136,4512000
2021-12-28,1785.000000,1823.000000,1776.099976,1806.099976,1656.212891,3605483
2021-12-29,1800.500000,1821.000000,1782.750000,1786.849976,1638.560425,1902921
2021-12-30,1787.000000,1838.000000,1786.000000,1799.949951,1650.573242,4650594
2021-12-31,1800.199951,1813.000000,1783.449951,1790.550049,1641.953491,2378048
2022-01-03,1795.050049,1818.000000,1783.000000,1784.800049,1636.680786,1779147
2022-01-04,1793.000000,1803.800049,1767.000000,1789.800049,1641.265625,2701533
2022-01-05,1779.949951,1782.949951,1733.000000,1737.550049,1593.351929,3138050
2022-01-06,1725.000000,1728.849976,1690.000000,1692.099976,1551.673584,4290750
2022-01-07,1702.000000,1724.550049,1695.099976,1703.849976,1562.448730,2103362
2022-01-10,1719.000000,1725.000000,1687.500000,1716.000000,1573.590332,2330348
2022-01-11,1705.000000,1745.000000,1705.000000,1737.150024,1592.985107,2704832
2022-01-12,1754.000000,1755.000000,1721.000000,1730.449951,1586.841064,3013194
2022-01-13,1730.000000,1748.900024,1701.800049,1718.800049,1576.157837,2768371
2022-01-14,1714.500000,1746.800049,1696.500000,1737.750000,1593.535400,1889385
2022-01-17,1732.949951,1751.000000,1720.000000,1722.400024,1579.459229,2522806
2022-01-18,1740.000000,1746.550049,1650.050049,1660.750000,1522.925293,4878369
2022-01-19,1663.099976,1676.599976,1627.550049,1670.099976,1531.499390,2610709
2022-01-20,1670.099976,1673.199951,1643.550049,1666.900024,1528.565063,2440011
2022-01-21,1650.000000,1653.000000,1588.849976,1593.550049,1461.302368,4079190
2022-01-24,1588.000000,1588.000000,1501.949951,1513.150024,1387.574707,3250275
2022-01-25,1499.000000,1527.650024,1465.000000,1500.599976,1376.066162,3910618
2022-01-27,1484.500000,1484.500000,1430.000000,1445.599976,1325.630615,4434890
2022-01-28,1446.000000,1482.900024,1406.250000,1410.650024,1293.581177,7080683
2022-01-31,1437.000000,1487.599976,1431.500000,1479.000000,1356.258789,4406035
2022-02-01,1504.000000,1514.949951,1475.000000,1505.750000,1380.788696,2542754
2022-02-02,1479.900024,1490.000000,1443.000000,1482.949951,1359.880859,9031146
2022-02-03,1478.900024,1479.800049,1449.099976,1454.300049,1333.608765,2433692
2022-02-04,1464.000000,1464.949951,1435.000000,1448.199951,1328.014893,2406272
2022-02-07,1450.000000,1465.750000,1434.000000,1444.300049,1324.438477,2741520
2022-02-08,1446.500000,1456.150024,1420.199951,1434.199951,1315.176636,1981111
2022-02-09,1440.050049,1470.949951,1440.050049,1454.800049,1334.067139,2282701
2022-02-10,1465.000000,1472.000000,1450.300049,1468.500000,1346.630127,1850405
2022-02-11,1449.849976,1449.949951,1421.000000,1424.900024,1306.648438,2426039
2022-02-14,1390.000000,1418.800049,1371.000000,1390.150024,1274.782471,2149302
2022-02-15,1404.050049,1442.599976,1395.050049,1439.650024,1320.174438,1955525
2022-02-16,1450.500000,1463.949951,1428.849976,1444.000000,1324.163452,2164650
2022-02-17,1461.449951,1461.449951,1440.250000,1447.550049,1327.418823,1669669
2022-02-18,1438.449951,1445.000000,1417.099976,1437.949951,1318.615356,2374188
2022-02-21,1427.150024,1440.000000,1410.099976,1418.199951,1300.504517,2109461
2022-02-22,1380.500000,1420.699951,1375.000000,1412.550049,1295.323608,2111878
2022-02-23,1422.000000,1424.949951,1409.199951,1413.300049,1296.011108,1319711
2022-02-24,1370.500000,1400.000000,1330.000000,1333.000000,1222.375122,4108603
2022-02-25,1355.000000,1400.000000,1350.099976,1389.699951,1274.369629,1885454
2022-02-28,1380.000000,1419.849976,1363.250000,1410.000000,1292.984985,4983140
2022-03-02,1400.000000,1420.699951,1382.750000,1394.349976,1278.633911,2160190
2022-03-03,1409.800049,1443.599976,1405.150024,1426.650024,1308.253296,2730530
2022-03-04,1415.000000,1460.000000,1398.500000,1453.599976,1332.966675,3567738
2022-03-07,1428.000000,1464.000000,1411.050049,1424.099976,1305.914917,3341715
2022-03-08,1420.000000,1466.900024,1420.000000,1461.949951,1340.623657,2365949
2022-03-09,1461.949951,1511.000000,1461.949951,1504.750000,1379.871826,3667977
2022-03-10,1525.000000,1525.949951,1474.500000,1485.349976,1362.081665,2835942
2022-03-11,1476.000000,1491.849976,1472.500000,1486.800049,1363.411499,1116432
2022-03-14,1487.000000,1508.900024,1487.000000,1503.000000,1378.267090,1372791
2022-03-15,1514.000000,1515.000000,1448.000000,1458.599976,1337.551636,2188506
2022-03-16,1475.199951,1494.500000,1468.400024,1489.900024,1366.254150,1453944
2022-03-17,1505.000000,1509.949951,1487.000000,1493.500000,1369.555542,2346185
2022-03-21,1495.000000,1520.000000,1476.199951,1479.800049,1356.992554,2110200
2022-03-22,1486.900024,1543.949951,1475.050049,1538.199951,1410.545776,3030660
2022-03-23,1550.000000,1561.699951,1529.199951,1542.150024,1414.168091,3741783
2022-03-24,1530.150024,1571.949951,1530.150024,1568.550049,1438.376953,2085571
2022-03-25,1571.000000,1574.949951,1522.400024,1530.550049,1403.530762,1755511
2022-03-28,1534.000000,1538.949951,1516.550049,1524.449951,1397.936890,1928306
2022-03-29,1537.000000,1539.550049,1519.099976,1522.349976,1396.011108,2311150
2022-03-30,1534.300049,1534.300049,1485.000000,1496.300049,1372.123047,3792481
2022-03-31,1496.300049,1509.599976,1487.199951,1499.449951,1375.011597,2036984
2022-04-01,1499.000000,1502.650024,1475.449951,1487.099976,1363.686523,2537230
2022-04-04,1487.099976,1504.300049,1483.650024,1498.650024,1374.278076,1675276
2022-04-05,1508.000000,1522.500000,1480.000000,1489.050049,1365.474609,3207223
2022-04-06,1482.000000,1482.000000,1454.000000,1459.349976,1338.239502,2627895
2022-04-07,1454.000000,1474.650024,1450.699951,1468.550049,1346.676025,3336784
2022-04-08,1475.000000,1483.400024,1440.000000,1448.750000,1328.519287,5402943
2022-04-11,1455.949951,1462.349976,1435.650024,1449.199951,1328.931641,3268704
2022-04-12,1436.349976,1441.599976,1406.449951,1415.000000,1297.570068,2021088
2022-04-13,1418.099976,1428.699951,1403.400024,1410.449951,1293.397583,1430399
2022-04-18,1390.000000,1390.000000,1330.199951,1344.550049,1232.966797,3968044
2022-04-19,1361.849976,1361.849976,1285.650024,1301.199951,1193.214233,2677360
2022-04-20,1305.400024,1320.949951,1295.750000,1309.199951,1200.550415,3025261
2022-04-21,1313.900024,1319.000000,1297.449951,1312.699951,1203.759888,3728173
2022-04-22,1305.000000,1324.000000,1292.849976,1306.500000,1198.074463,1954666
2022-04-25,1295.000000,1297.949951,1262.599976,1270.400024,1164.970459,2686619
2022-04-26,1281.400024,1285.699951,1265.000000,1275.449951,1169.601074,2568317
2022-04-27,1267.750000,1274.500000,1246.250000,1261.250000,1156.579712,2382463
2022-04-28,1273.800049,1284.400024,1250.199951,1271.300049,1165.795654,2576887
2022-04-29,1284.000000,1284.800049,1248.349976,1259.000000,1154.516357,3811317
2022-05-02,1240.000000,1249.000000,1224.199951,1231.199951,1129.023560,2149957
2022-05-04,1232.449951,1243.949951,1200.000000,1212.800049,1112.150513,2797667
2022-05-05,1232.849976,1266.099976,1222.150024,1263.349976,1158.505493,3563713
2022-05-06,1239.699951,1299.000000,1228.699951,1290.750000,1183.631592,5745203
2022-05-09,1280.000000,1280.000000,1210.000000,1261.150024,1156.488037,5712061
2022-05-10,1255.000000,1271.449951,1235.000000,1242.300049,1139.202393,2852416
2022-05-11,1243.000000,1265.650024,1207.300049,1224.449951,1122.833618,3244609
2022-05-12,1209.000000,1232.849976,1197.050049,1212.800049,1112.150513,3110220
2022-05-13,1228.000000,1234.550049,1195.000000,1202.849976,1103.026245,1892084
2022-05-16,1190.000000,1221.000000,1156.949951,1189.050049,1090.371582,3474480
2022-05-17,1195.800049,1210.000000,1183.150024,1198.199951,1098.762085,4434968
2022-05-18,1209.000000,1230.500000,1168.500000,1172.050049,1074.782349,5294021
2022-05-19,1153.000000,1153.900024,1100.000000,1108.349976,1016.368774,4393100
2022-05-20,1128.000000,1134.800049,1114.750000,1130.900024,1037.047241,2461651
2022-05-23,1134.000000,1147.800049,1115.650024,1142.900024,1048.051514,2783695
