Date,Open,High,Low,Close,Adj Close,Volume
2021-11-12,842.250000,852.849976,840.000000,847.900024,826.466003,1180441
2021-11-15,852.500000,858.000000,847.450012,852.549988,830.998413,1190768
2021-11-16,855.900024,858.000000,830.049988,833.400024,812.332581,1669041
2021-11-17,833.900024,847.349976,832.500000,836.400024,815.256653,1439354
2021-11-18,837.200012,843.000000,822.299988,832.049988,811.016663,1132067
2021-11-22,832.049988,839.049988,807.450012,812.750000,792.204468,1951384
2021-11-23,802.000000,823.849976,802.000000,820.950012,800.197205,1025086
2021-11-24,824.000000,830.000000,796.000000,798.950012,778.753418,1634131
2021-11-25,799.000000,810.500000,795.599976,807.799988,787.379700,1767252
2021-11-26,800.200012,805.000000,763.150024,766.700012,747.318604,2616604
2021-11-29,766.750000,774.900024,749.250000,766.000000,746.636292,1584564
2021-11-30,765.000000,789.650024,764.200012,778.599976,758.917786,3529356
2021-12-01,789.900024,790.849976,767.450012,772.799988,753.264404,1263844
2021-12-02,772.799988,780.900024,763.549988,773.250000,753.703003,1766820
2021-12-03,767.500000,781.000000,767.099976,774.299988,754.726501,1408239
2021-12-06,777.000000,778.000000,745.549988,747.599976,728.701416,1654143
2021-12-07,758.349976,765.500000,744.000000,760.700012,741.470337,1741795
2021-12-08,758.599976,773.650024,758.599976,772.150024,752.630859,1002435
2021-12-09,773.000000,779.049988,766.049988,777.500000,757.845642,935828
2021-12-10,781.650024,781.950012,765.349976,769.650024,750.194153,1412794
2021-12-13,774.000000,777.250000,752.000000,754.099976,735.037109,1944410
2021-12-14,753.000000,753.950012,732.400024,739.500000,720.806213,2333787
2021-12-15,742.000000,750.500000,735.200012,746.299988,727.434265,1676700
2021-12-16,747.000000,750.000000,735.299988,740.250000,721.537292,1452909
2021-12-17,738.000000,738.799988,721.049988,726.349976,707.988647,1693819
2021-12-20,717.450012,719.549988,696.599976,709.549988,691.613342,2520192
2021-12-21,710.549988,725.599976,704.799988,705.700012,687.860657,2695789
2021-12-22,706.200012,717.549988,703.799988,714.950012,696.876831,1035751
2021-12-23,720.000000,729.599976,712.250000,726.750000,708.378540,1095354
2021-12-24,729.000000,729.000000,714.000000,718.950012,700.775757,931510
2021-12-27,710.000000,724.500000,706.750000,718.500000,700.337097,691930
2021-12-28,722.299988,729.549988,719.400024,726.950012,708.573486,819253
2021-12-29,728.000000,728.900024,720.000000,726.650024,708.281067,783940
2021-12-30,729.000000,737.849976,725.299988,728.000000,709.596863,2230935
2021-12-31,730.000000,745.000000,729.049988,743.450012,724.656372,865277
2022-01-03,747.000000,749.400024,740.000000,748.000000,729.091309,925699
2022-01-04,752.000000,756.700012,731.049988,738.849976,720.172607,2352482
2022-01-05,740.250000,743.500000,726.500000,733.599976,715.055359,2076552
2022-01-06,733.000000,734.950012,722.549988,725.450012,707.111389,2077754
2022-01-07,725.450012,744.650024,725.049988,736.099976,717.492188,2107056
2022-01-10,740.450012,743.000000,731.000000,731.900024,713.398376,1592097
2022-01-11,736.450012,743.599976,730.750000,738.650024,719.977722,1905347
2022-01-12,743.000000,743.299988,733.150024,736.099976,717.492188,1817215
2022-01-13,737.000000,739.450012,723.599976,730.200012,711.741333,1604671
2022-01-14,730.200012,777.000000,727.000000,762.500000,743.224792,8733345
2022-01-17,768.000000,771.349976,759.250000,765.099976,745.759094,1857366
2022-01-18,763.799988,770.000000,728.400024,731.450012,712.959656,2674149
2022-01-19,734.950012,738.000000,714.000000,717.650024,699.508606,2426249
2022-01-20,728.049988,746.250000,717.200012,723.450012,705.161926,5297725
2022-01-21,721.000000,742.950012,712.000000,726.549988,708.183594,4854277
2022-01-24,725.000000,725.000000,688.500000,691.450012,673.970947,3114690
2022-01-25,690.000000,709.950012,675.000000,707.750000,689.858826,2030546
2022-01-27,700.000000,709.500000,687.500000,705.950012,688.104370,3118535
2022-01-28,706.500000,729.900024,706.500000,717.900024,699.752197,2074152
2022-01-31,726.000000,736.950012,722.049988,727.299988,708.914612,1682459
2022-02-01,732.000000,739.000000,717.049988,736.099976,717.492188,2063749
2022-02-02,741.599976,744.900024,734.599976,742.450012,723.681641,1771997
2022-02-03,750.000000,769.000000,733.349976,738.099976,719.441528,8154082
2022-02-04,741.000000,746.549988,722.200012,733.799988,715.250305,1931658
2022-02-07,729.000000,736.750000,702.049988,704.799988,686.983398,1908753
2022-02-08,705.099976,710.000000,691.349976,697.099976,679.478027,2410446
2022-02-09,706.000000,709.000000,696.549988,700.200012,682.499695,2206837
2022-02-10,706.250000,711.000000,699.000000,706.700012,688.835449,1770292
2022-02-11,695.000000,703.099976,690.000000,701.000000,683.279480,2013324
2022-02-14,689.000000,700.799988,684.049988,694.299988,676.748840,2069409
2022-02-15,693.000000,706.000000,689.150024,702.000000,684.254150,2209622
2022-02-16,705.500000,708.349976,696.049988,701.000000,683.279480,1217196
2022-02-17,701.500000,726.150024,701.500000,720.349976,702.140320,3442092
2022-02-18,715.599976,724.599976,712.200012,717.500000,699.362305,1686289
2022-02-21,710.500000,721.349976,704.500000,713.200012,695.171082,1542807
2022-02-22,690.000000,716.900024,690.000000,715.200012,697.120483,1861977
2022-02-23,715.000000,731.200012,714.099976,723.250000,704.966980,1816654
2022-02-24,699.000000,714.549988,674.049988,677.700012,660.568481,3091298
2022-02-25,690.000000,713.349976,685.599976,709.500000,691.564575,1771881
2022-02-28,699.500000,720.799988,694.549988,718.599976,700.434509,1935344
2022-03-02,711.950012,718.599976,701.549988,711.000000,693.026672,1938441
2022-03-03,712.150024,718.750000,684.549988,687.049988,669.682129,2112330
2022-03-04,688.400024,688.400024,657.500000,669.950012,653.014404,2833168
2022-03-07,659.000000,673.500000,650.200012,659.849976,643.169678,2137318
2022-03-08,659.000000,687.750000,658.000000,683.700012,666.416809,2850859
2022-03-09,685.000000,705.900024,678.299988,699.150024,681.476257,1920634
2022-03-10,705.549988,727.500000,705.549988,724.200012,705.893005,2574455
2022-03-11,724.299988,726.049988,707.450012,716.450012,698.338928,2305707
2022-03-14,720.000000,724.000000,709.650024,722.250000,703.992249,1584725
2022-03-15,724.000000,774.000000,723.750000,748.599976,729.676147,9386502
2022-03-16,754.000000,755.549988,740.599976,747.849976,728.945129,1959778
2022-03-17,758.000000,774.450012,754.250000,772.299988,752.777039,3099238
2022-03-21,772.000000,773.849976,745.299988,747.799988,728.896362,1889226
2022-03-22,750.000000,758.000000,731.400024,752.900024,733.867554,3047970
2022-03-23,759.500000,760.000000,745.099976,748.799988,729.871094,1103251
2022-03-24,748.000000,751.599976,738.700012,740.500000,721.780945,1179087
2022-03-25,740.000000,740.000000,708.599976,733.349976,714.811646,2968621
2022-03-28,734.000000,746.200012,728.150024,741.250000,722.511963,1833105
2022-03-29,742.000000,747.750000,735.599976,743.200012,724.412720,985708
2022-03-30,750.000000,782.750000,749.000000,765.849976,746.490112,8328100
2022-03-31,767.950012,780.000000,765.900024,777.400024,757.748108,2892133
2022-04-01,779.950012,792.500000,779.000000,789.799988,769.834656,3082307
2022-04-04,792.000000,795.000000,781.750000,788.099976,768.177612,1565651
2022-04-05,791.000000,810.000000,788.200012,806.650024,786.258789,2912280
2022-04-06,810.450012,812.500000,797.049988,809.250000,788.793030,2004175
2022-04-07,809.000000,818.299988,802.049988,804.900024,784.552979,1965237
2022-04-08,810.500000,819.849976,804.000000,817.700012,797.029358,1406219
2022-04-11,817.700012,824.000000,809.500000,821.500000,800.733337,1231236
2022-04-12,821.500000,822.849976,802.549988,812.099976,791.570923,1193490
2022-04-13,812.099976,823.500000,811.049988,817.599976,796.931885,1036739
2022-04-18,816.200012,824.900024,809.000000,822.299988,801.513184,1480954
2022-04-19,825.000000,836.849976,784.849976,791.349976,771.345459,2460482
2022-04-20,800.000000,813.450012,792.099976,810.450012,789.962646,1522453
2022-04-21,812.000000,822.000000,804.250000,820.049988,799.319946,1344250
2022-04-22,818.000000,821.599976,803.099976,815.599976,794.982422,1880668
2022-04-25,802.000000,809.900024,789.549988,792.750000,772.710144,1193621
2022-04-26,798.250000,824.349976,795.000000,822.049988,801.269409,1285209
2022-04-27,814.900024,817.849976,796.299988,798.599976,778.412170,1186809
2022-04-28,810.849976,819.000000,799.599976,811.650024,791.132385,1802590
2022-04-29,815.000000,835.250000,813.000000,823.750000,802.926453,2268921
2022-05-02,823.299988,828.650024,810.000000,824.400024,803.560059,1439813
2022-05-04,824.400024,832.000000,800.799988,803.299988,782.993408,1817504
2022-05-05,810.000000,812.000000,772.500000,776.349976,756.724670,5079723
2022-05-06,770.000000,778.500000,762.950012,764.950012,745.612854,2003395
2022-05-09,763.000000,768.000000,754.000000,758.250000,739.082275,1742459
2022-05-10,759.450012,772.450012,743.049988,745.799988,726.947021,1326184
2022-05-11,745.799988,758.799988,738.000000,744.099976,725.289917,1287768
2022-05-12,742.000000,748.000000,728.000000,738.049988,719.392883,1488552
2022-05-13,747.000000,761.250000,735.049988,737.599976,718.954224,1481400
2022-05-16,739.000000,744.450012,730.000000,735.500000,716.907410,829085
2022-05-17,737.000000,742.750000,721.049988,734.250000,715.688904,2536701
2022-05-18,736.849976,757.900024,733.799988,754.299988,735.232117,2750146
2022-05-19,745.000000,746.450012,718.650024,721.299988,703.066284,1504820
2022-05-20,735.000000,742.750000,731.400024,739.599976,720.903625,1205301
2022-05-23,745.000000,748.750000,728.049988,729.700012,711.253967,970827
2022-05-24,735.000000,738.000000,710.000000,715.150024,697.071777,1513724
2022-05-25,719.700012,723.950012,710.049988,716.200012,698.095215,822598
2022-05-26,722.299988,724.849976,698.000000,722.250000,703.992249,1339748
2022-05-27,730.000000,731.599976,722.599976,725.450012,707.111389,1039408
2022-05-30,731.000000,753.000000,729.099976,750.150024,731.187012,1145649
2022-05-31,753.000000,779.950012,743.000000,759.750000,740.544373,6125585
2022-06-01,760.000000,780.500000,757.750000,761.099976,741.860168,1641729
2022-06-02,757.000000,760.500000,747.000000,758.250000,739.082275,630109
2022-06-03,760.000000,771.000000,752.049988,753.900024,734.842224,1747685
2022-06-06,756.750000,770.000000,745.299988,763.650024,744.345703,1441390
2022-06-07,762.000000,762.000000,746.099976,756.599976,737.473877,1346609
2022-06-08,754.349976,764.849976,739.099976,757.150024,738.010071,2461233
